ROLE NOUN	TOTAL	2000	2001	2002	2003	2004	2005	2006	2007	2008
radio announcer	103	2	3	4	3	3	4	2	2	4
radio announcer	174	3	4	0	3	8	4	1	5	1
radio announcer	40	0	1	2	0	2	1	1	0	0
radio announcer	34	0	1	0	1	1	0	1	4	1
radio announcer	38	0	0	1	2	1	0	0	2	0
radio announcer	1072	36	20	23	18	37	25	21	35	10
radio announcer	24	0	0	2	0	2	0	1	0	0
radio announcer	113	2	5	7	3	2	3	9	4	3
radio announcer	1021	26	26	54	49	31	32	45	51	34
radio announcer	95	5	0	7	1	4	3	4	2	5
radio announcer	797	9	15	13	17	19	20	20	29	15
apprentice	43	6	5	0	5	3	2	0	0	0
apprentice	190	0	4	5	5	4	3	5	1	3
apprentice	307	1	1	2	2	6	0	5	5	27
apprentice	146	0	0	0	6	2	4	4	5	10
apprentice	675	15	34	19	14	30	18	21	17	24
apprentice	1323	17	9	21	25	23	45	35	16	47
apprentice	1139	15	16	16	17	30	26	30	33	57
apprentice	77	0	0	4	0	6	15	0	3	0
apprentice	18782	345	324	370	430	478	432	378	485	661
apprentice	9122	162	215	183	236	266	197	228	238	374
apprentice	12417	65	90	107	102	174	169	286	289	653
apprentice	15	0	2	0	0	2	0	0	0	0
apprentice	142554	3242	3302	3348	4044	4134	3797	3896	3931	3964
apprentice	2529	54	53	45	49	62	41	48	63	187
apprentice	319	9	4	3	5	3	7	6	2	11
apprentice	10	0	0	0	0	0	0	0	0	0
apprentice	11560	188	209	173	228	264	269	286	336	445
apprentice	54	1	0	1	0	4	5	3	7	2
